"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","fdr"
"CLASP1",0.000152617531624579,-0.012764973536564,0.241,0.211,1,0.000258489857573809
"NEAT1",0.000154993480741149,0.120310681787671,0.985,0.953,1,0.000262274942820632
"ABCA13",0.000157733037779328,0.0365359799900588,0.285,0.203,1,0.000266667865508637
"SSR3",0.000161361655323113,0.0641095640713781,0.615,0.513,1,0.000272554505082131
"PSMA6",0.00016422527453265,-0.0206840732979718,0.279,0.26,1,0.000277139473280348
"TJP1",0.000164788357072868,-0.112492660309239,0.281,0.334,1,0.000277837357024853
"RNF43",0.000174658107520374,-0.0462210052400836,0.232,0.22,1,0.000294211027899233
"EMP2",0.000184323186720577,0.0451900918642048,0.849,0.801,1,0.000310210580549666
"UBE2V2",0.000185312545502677,0.050808728942757,0.678,0.581,1,0.000311593402302238
"GLCE",0.00018666073989046,0.000773687813179325,0.302,0.265,1,0.000313576541334968
"DDIT3",0.000188997333495997,0.0295185339050096,0.355,0.273,1,0.000317215036707825
"MGEA5",0.000190155767393477,-0.0144225135234722,0.399,0.361,1,0.000318871313914333
"ARL4A",0.000191632616548999,0.0156168603543841,0.363,0.303,1,0.000321058071729522
"RNF213",0.000196058584192138,-0.159936586638159,0.49,0.524,1,0.000328177341827922
"KRT10",0.000199600723684847,0.0293820444080959,0.829,0.777,1,0.000333805710716873
"FAM43A",0.000202709708095463,0.0549592342539462,0.258,0.17,1,0.000338700213706268
"PAK4",0.000205792422319924,0.0719262812698446,0.392,0.294,1,0.000343542067089324
"PKP1",0.000209026547405156,0.153607752044424,0.59,0.424,1,0.000348627760393878
"TM4SF1",0.000220679639774849,0.00616343700771893,0.741,0.664,1,0.000367733426638269
"EIF2AK4",0.000222132559345658,-0.073644750306335,0.273,0.27,1,0.000369822845218846
"SELM",0.000228946906769374,-0.292105832791429,0.579,0.627,1,0.000380826636327213
"AVPI1",0.000230423093324027,0.0670203768402112,0.429,0.311,1,0.000382599647281262
"LDHA",0.000230424653018155,0.193290881745001,0.917,0.796,1,0.000382599647281262
"NAE1",0.000231109725513631,0.0509908357892543,0.275,0.198,1,0.000383394526789577
"APLP2",0.000232543349714688,0.0299773094111379,0.464,0.394,1,0.000385428674192588
"C5orf56",0.000247206116695045,-0.0757203475129689,0.29,0.307,1,0.000409366278805164
"CARHSP1",0.000248630441189538,0.0921380733441423,0.738,0.583,1,0.000411358290053573
"CLEC2B",0.000249485878019006,0.189495488259902,0.547,0.401,1,0.000412242149235225
"LINC00657",0.000249608405753298,0.0114849848265445,0.449,0.395,1,0.000412242149235225
"TRIB1",0.000250857596452714,0.104174506714671,0.455,0.34,1,0.000413937312796753
"SOCS1",0.000254168175464969,-0.0759014411622238,0.414,0.422,1,0.00041902792370356
"METTL15",0.000260286237341708,0.0166537050018907,0.255,0.195,1,0.000428733890940508
"MXD4",0.000277077464388621,-0.0293430534762706,0.228,0.212,1,0.000455987536611211
"SERPINB6",0.000282985783573148,0.0358965165209868,0.281,0.231,1,0.000465298748565406
"LOXL1",0.000285913165972854,-0.0374762725142487,0.236,0.231,1,0.000469696430042054
"POLR2J3",0.000287965123864025,-0.146310018795729,0.613,0.634,1,0.000472649470087772
"PNRC1",0.000290844130704612,0.0118842422044096,0.773,0.735,1,0.000476953570034571
"KDELR1",0.000300058065410781,-0.0654967967541117,0.498,0.502,1,0.000491629528688916
"DNAJC15",0.000305465672882495,-0.0265944238676001,0.19,0.196,1,0.000500048652172401
