p_val,avg_diff,pct.1,pct.2,p_val_adj,fdr
3.151477713653387e-7,3.7112083388111765,0.895,0.483,0.012680600876427132,6.569060496675634e-4
5.665425180401582e-7,3.2153150302407516,0.552,0.103,0.022795971298381845,6.569060496675634e-4
4.7857881529578505e-6,3.18722399292201,0.867,0.517,0.19256575791056502,0.0036994142422364183
1.5328229951546495e-5,2.689079714314401,0.648,0.207,0.6167619885603763,0.00626079376113917
1.6080980348394425e-5,2.5845164971032197,0.6,0.207,0.6470504062783465,0.00626079376113917
1.6198690196996557e-5,2.5823807885070575,0.971,0.724,0.6517866974565505,0.00626079376113917
2.235228098360044e-5,2.3272708110838938,0.752,0.345,0.8993887299371309,0.00740499137156706
4.854630812929762e-5,3.304035055046171,0.686,0.379,1,0.014072361068980148
6.117423967207001e-5,1.334368339554402,1,0.931,1,0.014163471738051716
6.387042565205804e-5,3.1051745752434625,0.895,0.552,1,0.014163471738051716
7.817652148599041e-5,2.9295624748664375,0.505,0.103,1,0.014163471738051716
8.231271246381233e-5,3.2413571238181436,0.724,0.379,1,0.014163471738051716
9.206658930278235e-5,2.8384576383401967,0.924,0.655,1,0.014163471738051716
9.510127470220034e-5,2.831704893830463,0.857,0.483,1,0.014163471738051716
9.669353444399565e-5,2.8147190523308776,0.533,0.138,1,0.014163471738051716
1.038276405074168e-4,1.3711890076820357,1,0.931,1,0.014163471738051716
1.1021537787160338e-4,2.8418135630783055,0.695,0.276,1,0.014163471738051716
1.193221563609356e-4,3.0127229155724295,0.819,0.414,1,0.014163471738051716
1.200727185660758e-4,2.185773994548841,0.629,0.241,1,0.014163471738051716
1.262521519444744e-4,2.883136084566293,0.6,0.207,1,0.014163471738051716
1.327045668754647e-4,2.6598025437662676,0.933,0.655,1,0.014163471738051716
1.3436670040411288e-4,0.8811459555843637,1,1,1,0.014163471738051716
1.5664145452195025e-4,2.8012494162557666,0.762,0.31,1,0.0157935449146262
1.695616325534816e-4,2.41815387185905,0.6,0.276,1,0.01638389274548016
1.939172455485066e-4,2.19205313817064,0.686,0.31,1,0.01754292072659623
2.0218766502874856e-4,2.0190005557038413,0.686,0.31,1,0.01754292072659623
2.042513409306159e-4,2.304462241278663,0.657,0.276,1,0.01754292072659623
2.602201973919716e-4,2.099297711374872,0.981,0.759,1,0.02155180849114222
2.979216497209086e-4,1.9056021600236104,0.981,0.828,1,0.02315430458270569
3.098454211970576e-4,2.6247723429143877,0.562,0.207,1,0.02315430458270569
3.1106961008644233e-4,2.5027751989856863,0.667,0.31,1,0.02315430458270569
3.1950743710503757e-4,2.5828313440913173,0.552,0.241,1,0.02315430458270569
3.917891239361731e-4,2.3791796784491615,0.876,0.586,1,0.0268144518094968
3.931398712905956e-4,2.1679162936902863,0.914,0.655,1,0.0268144518094968
4.454723039215909e-4,-0.6844574237438206,1,1,1,0.029515722079833405
4.734766909289444e-4,1.6971165822075278,0.99,0.862,1,0.029883766587029976
4.850326281974147e-4,1.9360736545008068,0.714,0.379,1,0.029883766587029976
4.896865589940229e-4,1.817276506938006,0.962,0.793,1,0.029883766587029976
5.074144601989815e-4,2.5045315768547214,0.867,0.621,1,0.030171644441062517
5.409958704637813e-4,2.565353550839659,0.571,0.207,1,0.0308359822444603
5.451812298503115e-4,2.037260326262472,0.857,0.552,1,0.0308359822444603
5.661379102961557e-4,2.354488387824493,0.771,0.483,1,0.0312589003327806
5.839217700243967e-4,2.382539220933891,0.952,0.724,1,0.03149103685317619
6.32404742820901e-4,2.4382382253500343,0.629,0.345,1,0.03244115139715281
6.351850243836441e-4,2.098996479166315,0.876,0.586,1,0.03244115139715281
6.558665420290479e-4,2.0073110591267604,0.743,0.379,1,0.03244115139715281
6.600755378735198e-4,1.7284481787339105,0.943,0.69,1,0.03244115139715281
6.714856692813001e-4,1.5549335223074863,0.981,0.897,1,0.03244115139715281
7.313238676271498e-4,2.148528377906027,0.714,0.379,1,0.03416377528749645
7.366057629904367e-4,2.0124514858483926,0.781,0.483,1,0.03416377528749645
8.077166863194569e-4,2.727506177774245,0.724,0.414,1,0.035146041498520235
8.217472934442602e-4,0.5703826535548089,1,1,1,0.035146041498520235
8.326841387462043e-4,2.5400867649883017,0.857,0.655,1,0.035146041498520235
8.521922337030027e-4,1.7324722203057705,0.914,0.759,1,0.035146041498520235
8.554309970246263e-4,2.455619455964274,0.905,0.621,1,0.035146041498520235
8.666275924603746e-4,2.4348764389619157,0.562,0.241,1,0.035146041498520235
8.699940407499749e-4,2.012244559632617,0.781,0.345,1,0.035146041498520235
8.792990263460647e-4,1.522310746562873,1,0.966,1,0.035146041498520235
8.941856181167287e-4,1.8882022888729892,0.933,0.655,1,0.035146041498520235
9.964212797619963e-4,2.536260031376101,0.562,0.207,1,0.038183638685408694
0.0010043992927166582,2.374214274176839,0.61,0.276,1,0.038183638685408694
0.0010627112282048166,2.085098774115961,0.905,0.759,1,0.03924920134016802
0.0010797831078712596,-0.9550470842611851,0.962,1,1,0.03924920134016802
0.0010872296086480654,2.349920138166376,0.6,0.241,1,0.03924920134016802
0.0011062039634274756,2.4344295233476583,0.562,0.172,1,0.03924920134016802
0.0011170535957098274,2.0412481596795926,0.61,0.241,1,0.03924920134016802
0.00113973191302568,2.311157613138433,0.695,0.345,1,0.03944833292994854
0.0011652328547029365,1.9281308166230318,0.971,0.862,1,0.039572835543695235
0.0011774582373932606,2.314194573260578,0.61,0.276,1,0.039572835543695235
0.0012414036216195651,2.045399095704224,0.952,0.69,1,0.04050704597952632
0.0012642506521743759,1.8317682303570892,0.981,0.793,1,0.04050704597952632
0.0012702820419620699,1.8978654707939198,0.81,0.586,1,0.04050704597952632
0.0012803633616032609,2.6433396322046008,0.619,0.276,1,0.04050704597952632
0.0012974262223258686,2.4599203107581222,0.714,0.379,1,0.04050704597952632
0.0013323200545751657,1.781885139163311,0.914,0.69,1,0.04050704597952632
0.0013343779664433766,2.1013263770899697,0.648,0.379,1,0.04050704597952632
0.0013516542269771323,1.6243179114187547,0.752,0.448,1,0.04050704597952632
0.0013723023772342835,2.0031806167682795,0.629,0.241,1,0.04050704597952632
0.001379929552558249,2.1875562289717103,0.781,0.448,1,0.04050704597952632
0.001425049063992677,1.714831346264658,0.943,0.724,1,0.04130860974248773
0.0014479208035950485,-0.6150830430093315,0.971,1,1,0.04145056208731777
0.0014656947352997226,2.037303039579128,0.638,0.31,1,0.04145056208731777
0.0014959870579379418,2.401271876591191,0.59,0.241,1,0.04169614997205564
0.0015103391969179274,2.0044554681385085,0.733,0.414,1,0.04169614997205564
0.001616183577133533,0.5303827262220935,1,1,1,0.04409329076909015
0.0016705712825595437,2.084323592786239,0.848,0.621,1,0.04503215327326985
0.0017197614999728465,2.3839575833054454,0.648,0.31,1,0.04503215327326985
0.001723413531095343,0.8760524089380199,0.99,0.897,1,0.04503215327326985
0.0017282715141530903,2.2408094791193673,0.762,0.448,1,0.04503215327326985
0.0017994771056283848,2.5429547906375243,0.552,0.207,1,0.04566732332053575
0.0018188627690903921,2.44161265190659,0.857,0.552,1,0.04566732332053575
0.0018481121621130299,2.271115660125604,0.581,0.241,1,0.04566732332053575
0.001886507780035051,2.1795732739439826,0.676,0.379,1,0.04566732332053575
0.0018913998079231815,2.35707698328346,0.571,0.31,1,0.04566732332053575
0.0019033560309123917,1.8541895029876487,0.61,0.31,1,0.04566732332053575
0.001958296676067602,2.2608479246431603,0.914,0.69,1,0.04566732332053575
0.0019897841707096644,2.2948017133118994,0.648,0.276,1,0.04566732332053575
0.0020189254225241055,1.748807508000565,0.838,0.517,1,0.04566732332053575
0.002025053484678662,2.0485154873190257,0.724,0.448,1,0.04566732332053575
0.0020381659343456015,2.275522212048252,0.581,0.276,1,0.04566732332053575
0.0020414942331168037,2.09943189850652,0.857,0.655,1,0.04566732332053575
0.002051764940271939,2.065058618519018,0.562,0.276,1,0.04566732332053575
0.002059355675856593,1.8715697299144782,0.771,0.483,1,0.04566732332053575
0.002061110846606577,1.9726157638616386,0.676,0.345,1,0.04566732332053575
0.0020677313275792386,2.01791381725152,0.829,0.552,1,0.04566732332053575
0.0020914690254593914,1.6641904073023408,0.857,0.69,1,0.04575581764188989
0.002179001023638426,1.1775890919427843,0.924,0.793,1,0.04722526517586458
0.002237081390724908,2.0345139724935764,0.724,0.414,1,0.04802752162977195
0.0022574384897133004,2.472397760848968,0.781,0.552,1,0.04802752162977195
0.002397058539231025,2.140314024710257,0.952,0.759,1,0.050035197401822044
0.002406649061595321,0.7848880757147949,1,0.966,1,0.050035197401822044
0.002431137482762287,1.8185414724613516,0.819,0.483,1,0.050035197401822044
0.002454218820934876,-0.6019612119497362,0.99,1,1,0.050035197401822044
0.002459686288834719,2.3029848767092638,0.695,0.345,1,0.050035197401822044
0.0025078227160886596,2.5770857489713084,0.733,0.483,1,0.05057079024877915
0.002560309153635186,0.413008952126642,1,1,1,0.051184111442068934
0.0025877217015707423,2.3991539221974683,0.543,0.207,1,0.05128997116190215
0.0026449471956836736,2.838032674182399,0.829,0.621,1,0.05145115553356907
0.0026520916557609625,1.2941877438977993,0.99,0.897,1,0.05145115553356907
0.002666498538179449,1.0444259748239784,0.981,0.862,1,0.05145115553356907
0.00268460104336432,2.3024537694097993,0.61,0.31,1,0.05145115553356907
0.0027439173736557468,2.0476587693067163,0.857,0.586,1,0.05215692122547276
0.0029257508648010645,1.6965112942003717,0.629,0.345,1,0.054780889020097444
0.0029517123755222153,2.0124650523247922,0.562,0.241,1,0.054780889020097444
0.0029528292917258216,2.172402088713744,0.829,0.586,1,0.054780889020097444
0.003005264514601056,1.3765624258194853,0.857,0.621,1,0.05531117785206229
0.0030460908579340857,0.7762292484548645,1,0.931,1,0.05547689113399354
0.0030621138702678625,1.7791689032750995,0.971,0.828,1,0.05547689113399354
0.0030926379692815817,1.016813008184796,1,0.966,1,0.05559556163382937
0.003172821742981295,1.704515600711693,0.648,0.345,1,0.0565304023655172
0.003198031447944777,1.7310519949621908,0.81,0.552,1,0.0565304023655172
0.0032177719328366845,1.0428785891583798,0.971,0.724,1,0.0565304023655172
0.0033292674175731986,1.835298468531044,0.848,0.586,1,0.05804940707783644
0.003434791675329292,2.084452175695194,0.79,0.517,1,0.05910170113795324
0.003445327668604277,1.8456914577867982,0.895,0.724,1,0.05910170113795324
0.0034660764789830275,1.431379462603216,0.914,0.69,1,0.05910170113795324
0.0035384554652022134,1.676284005792576,0.695,0.414,1,0.05948524201289289
0.003539872099085476,0.5463582794350081,1,1,1,0.05948524201289289
0.003763681097516983,1.8872399292039228,0.905,0.759,1,0.06180222067882427
0.003767686518832254,1.8515945998694114,0.667,0.379,1,0.06180222067882427
0.0037681355060980655,1.7693405709983372,0.6,0.276,1,0.06180222067882427
0.003784353314529128,1.7250320993325534,0.667,0.345,1,0.06180222067882427
0.0038767039313026513,2.4947071488392076,0.781,0.483,1,0.06286766724958635
0.0039073172547918,2.1678610710146913,0.848,0.552,1,0.06287619954205045
0.003931457064940628,2.0850645760497737,0.629,0.31,1,0.06287619954205045
0.004037061390115393,1.4369429049820264,0.924,0.724,1,0.0634551741238864
0.00404687303184315,1.7768447891772698,0.629,0.379,1,0.0634551741238864
0.004049748068277356,0.8753818811281606,1,0.966,1,0.0634551741238864
0.00410107577934407,2.044484149780645,0.724,0.414,1,0.06382815256576442
0.004211366272079588,2.490181483257527,0.8,0.517,1,0.06428037072600981
0.004272521599341245,2.35878502433978,0.657,0.345,1,0.06428037072600981
0.004278874428829049,2.1336147518387794,0.486,0.172,1,0.06428037072600981
0.004337882685587181,2.1015599424478153,0.619,0.276,1,0.06428037072600981
0.004357928423193471,1.5632602687929644,0.676,0.448,1,0.06428037072600981
0.004377142916362097,2.4333721549505087,0.819,0.552,1,0.06428037072600981
0.004380486693574889,2.008063029522263,0.629,0.276,1,0.06428037072600981
0.004407979326750031,2.025830751404759,0.886,0.621,1,0.06428037072600981
0.004412927280253029,1.5020549749832317,0.733,0.379,1,0.06428037072600981
0.004417874380442075,1.5913593704698537,0.743,0.448,1,0.06428037072600981
0.004440041959369515,2.3091202600770098,0.667,0.414,1,0.06428037072600981
0.0044773310524604025,1.8547417238911406,0.629,0.379,1,0.06428037072600981
0.004490478679436649,2.019319343863976,0.524,0.276,1,0.06428037072600981
0.004715621419170583,2.0330154366100412,0.933,0.724,1,0.06708911700034713
0.004888871914720689,2.1555036621864776,0.771,0.448,1,0.06865429469876726
0.004899800583593453,2.077014306577098,0.914,0.724,1,0.06865429469876726
0.004960431627846482,2.05770193498818,0.533,0.241,1,0.06865429469876726
0.0049640521412597375,1.7120914846842807,0.81,0.621,1,0.06865429469876726
0.004995143857338824,0.9902058899443809,0.905,0.724,1,0.06865429469876726
0.00500750089950536,2.2339532370055384,0.8,0.552,1,0.06865429469876726
0.005038149693404834,1.732842429744899,0.952,0.862,1,0.06865429469876726
0.00514149747060432,1.8716237738133716,0.59,0.31,1,0.06865429469876726
0.005147149345579534,1.768833287003055,0.676,0.379,1,0.06865429469876726
0.005151184621184215,2.0943069951871163,0.8,0.517,1,0.06865429469876726
0.00515186815020025,1.9451319913672669,0.686,0.379,1,0.06865429469876726
0.005193137413260979,2.1354801676294013,0.752,0.517,1,0.06865429469876726
0.005210502745572677,2.1727764938379286,0.629,0.345,1,0.06865429469876726
0.005361853029918323,2.017315900792636,0.943,0.793,1,0.07024936257842142
0.005415615701954812,2.0942457793584452,0.8,0.517,1,0.07055512816198432
0.005479329407373061,1.439393199245913,0.79,0.483,1,0.07098639606535267
0.005513648870828283,1.6963046771438708,0.705,0.379,1,0.0710341762858377
0.00559157482374934,0.7156644830506336,1,0.931,1,0.0716401216368769
0.005646675078505832,1.583319837859389,0.752,0.517,1,0.07194856872008255
0.005699679901489095,0.5419859189767227,1,1,1,0.07222709121067329
0.005745930172772487,2.035380562105205,0.733,0.483,1,0.0724174569057576
0.005898501479606689,1.7000701372891527,0.619,0.276,1,0.07352694109589686
0.005928133626985291,1.5247441921472795,0.848,0.552,1,0.07352694109589686
0.005936674257783727,1.9417139828484808,0.495,0.276,1,0.07352694109589686
0.005960786945247352,1.712247432991827,0.705,0.448,1,0.07352694109589686
0.006068076549470108,1.7483966345562285,0.857,0.552,1,0.07445433607524435
0.006112615523489165,2.1385898863112356,0.743,0.517,1,0.07458736456499548
0.006143245636875436,2.097058634617002,0.705,0.414,1,0.07458736456499548
0.006239027897181107,1.8888144671559841,0.638,0.345,1,0.07503343945558633
0.006259710424504758,1.8779406581318185,0.667,0.414,1,0.07503343945558633
0.006277053581019296,1.374452718821126,0.876,0.655,1,0.07503343945558633
0.00641212017537095,1.2865976629075084,0.857,0.586,1,0.0762549060855653
0.006453341906047038,1.8865849050410484,0.695,0.379,1,0.0763535708169545
0.006577565684223453,1.7180186060422864,0.895,0.655,1,0.07742829858738165
0.006655331579806574,1.7720131984355296,0.762,0.483,1,0.07794805016955275
0.00682568037113313,1.9638370191364487,0.762,0.483,1,0.07954147125958658
0.006885499289238769,2.018802795361984,0.638,0.379,1,0.07956019594018988
0.00689590314099964,1.8175631225379578,0.61,0.345,1,0.07956019594018988
0.007063749741447182,0.3936952240316227,1,1,1,0.08109324579413868
0.007108062867035072,1.5090028629137024,0.762,0.552,1,0.08119998910667159
0.007209066376880433,2.366953489687981,0.648,0.345,1,0.08162009591410219
0.00724952346398338,1.573611489113535,0.867,0.586,1,0.08162009591410219
0.007272615262093645,1.7755435823377383,0.695,0.448,1,0.08162009591410219
0.007292642537308256,2.02808194110527,0.686,0.414,1,0.08162009591410219
0.007357743643090856,1.7962060904728605,0.6,0.414,1,0.08162009591410219
0.007381422562451884,1.6848910766665819,0.676,0.483,1,0.08162009591410219
0.0073932380856823535,1.9761102110929674,0.524,0.207,1,0.08162009591410219
0.00742640803703129,1.509215994160483,0.895,0.655,1,0.08162009591410219
0.007535166801488057,1.4545812965985179,0.667,0.379,1,0.08214343415623777
0.007577655240249749,1.9263032809628813,0.838,0.586,1,0.08214343415623777
0.007580291034685159,1.6850713230508028,0.895,0.724,1,0.08214343415623777
0.007635319223900396,2.1650761510619123,0.867,0.69,1,0.08235490828011637
0.007753993612091194,1.7053612824552955,0.943,0.759,1,0.08319759134203641
0.007785199362320786,2.1402950992405354,0.562,0.276,1,0.08319759134203641
0.007855589310876397,1.8455412048075859,0.838,0.586,1,0.08356473216478148
0.007894434203872843,1.878902167222761,0.667,0.414,1,0.08359448821361243
0.008166309640943097,1.9144731985612689,0.762,0.517,1,0.08603063160321509
0.008198693223074831,1.3699328124872014,0.819,0.517,1,0.08603063160321509
0.008255751977510897,1.8012281940383597,0.943,0.828,1,0.08623913890021519
0.008445640180134877,1.6267297637576084,0.933,0.759,1,0.08730800014034688
0.008467904009313331,1.757437921789685,0.781,0.483,1,0.08730800014034688
0.008494202428552233,1.249721747319298,0.714,0.483,1,0.08730800014034688
0.008553908308100315,2.0541030862264247,0.552,0.31,1,0.08730800014034688
