"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"CBS";1,47150955932202e-38;1,15750128477729;0,504;0,087;5,92091301384403e-34
"LGALS1";1,54849590437344e-38;1,19732425309112;0,902;0,403;6,23068297042741e-34
"MFGE8";2,26441492672398e-38;0,61353835669459;0,976;0,842;9,11132634065927e-34
"SH3BP5";2,62537759676382e-38;1,31266741816928;0,423;0,057;1,05637318360986e-33
"VIM";2,78541955965439e-38;0,366292491576183;0,992;0,912;1,12076926821814e-33
"RPL38";4,31768195874224e-38;-0,376794238412326;0,935;0,989;1,73730568973911e-33
"TAGLN2P1";4,64031857394372e-38;0,918281290133816;0,886;0,541;1,86712498459773e-33
"SEMA5B";4,86568716799709e-38;1,22766657736259;0,276;0,016;1,95780654578699e-33
"DNMT1";5,3941209800038e-38;1,18302709971939;0,902;0,424;2,17043245872413e-33
"RPL26P19";5,5947503578386e-38;-0,313651058267039;0,959;0,987;2,25115970148352e-33
"CDC25B";9,7677414539666e-38;1,33851223775411;0,797;0,263;3,93024612883254e-33
"CYYR1";1,088412927077e-37;1,43696320916032;0,528;0,098;4,37944709467971e-33
"RP11-864N7.2";1,41313217536574e-37;-0,349480670359192;0,935;0,988;5,68601993401913e-33
"CKB";1,42959048921464e-37;1,37837036590947;0,74;0,256;5,75224325145296e-33
"CTB-36O1.7";1,78429709992943e-37;1,05051830745113;0,967;0,453;7,17947624098604e-33
"CD151";2,93933889996699e-37;0,635491798071228;0,992;0,847;1,18270179317972e-32
"PLCB4";3,06021786675192e-37;1,27207198115252;0,593;0,126;1,23133986304497e-32
"RPL32P3";4,86609602843014e-37;1,28123842500302;0,675;0,177;1,95797105895944e-32
"FAM111B";5,60757448451996e-37;1,27961273565863;0,276;0,017;2,25631974533629e-32
"FXYD3";7,76889642929782e-37;1,21621387368083;0,902;0,327;3,12597085625656e-32
"KRT6A";1,16112947702137e-36;1,11107846685668;0,675;0,182;4,67203667669087e-32
"ZIC2";2,56655095120801e-36;1,2248438736023;0,407;0,053;1,03270310623757e-31
"TMEM123";2,57344198517418e-36;0,858213723304322;0,927;0,596;1,03547585157453e-31
"ATAD2";4,71074787712412e-36;1,38383832707651;0,537;0,111;1,89546362331843e-31
"PLA2G16";5,59947123359748e-36;1,45027039579098;0,48;0,081;2,25305924026262e-31
"EHF";7,50829609778818e-36;1,11446325838053;0,87;0,426;3,02111310086703e-31
"GLUD2";8,20071893225105e-36;1,12241635756567;0,488;0,085;3,29972327676985e-31
"NEURL1";1,45287975595547e-35;1,26668153015122;0,602;0,136;5,84595227403802e-31
"CRYAB";4,26295572199766e-35;1,25168039638382;0,805;0,322;1,7152854938602e-30
"GPX4";4,30995079442909e-35;0,480893835919671;0,976;0,801;1,73419490115443e-30
"ATP2C1";5,19119175051148e-35;0,949635832798001;0,911;0,595;2,0887798246533e-30
"PRAME";8,62427398473784e-35;-2,34438588577868;0,041;0,694;3,47014912323897e-30
"TCAM1P";8,86403571718293e-35;1,27247696065894;0,293;0,023;3,5666220515229e-30
"MAPK8IP2";1,08193364249831e-34;0,941561699826288;0,252;0,013;4,35337639732045e-30
"PYGB";1,59088544633136e-34;0,507658702633093;0,976;0,839;6,40124577040348e-30
"RANBP1";1,99918755970567e-34;1,15260688672653;0,797;0,359;8,0441309839877e-30
"RPS2P5";3,45185205723895e-34;0,51473283278711;0,967;0,84;1,38892171227124e-29
