"1" "2" "3"
"ACC.plate2_A01" 0.532668530306734 0.378575184452192 0.0887562852410742
"ACC.plate2_A02" 0.976019884289615 0 0.023980115710385
"ACC.plate2_A03" 0.570081719970188 0.349304675342843 0.0806136046869697
"ACC.plate2_A04" 0.110848754771814 0.872546279383294 0.0166049658448917
"ACC.plate2_A06" 0.658350430395595 0.26901883095104 0.0726307386533652
"ACC.plate2_A09" 0.780138348533986 0.201031520825564 0.0188301306404495
"ACC.plate2_A12" 0.874423076166504 0.0526413675669149 0.0729355562665813
"ACC.plate2_B01" 0.967046944032696 0.03177222310684 0.00118083286046372
"ACC.plate2_B02" 0.867819233419063 0.0738908989569323 0.058289867624005
"ACC.plate2_B03" 0.727162816787491 0.192774318296801 0.0800628649157083
"ACC.plate2_B04" 0.818872167344034 0.109636876223795 0.0714909564321709
"ACC.plate2_B05" 0.975687724236702 0 0.0243122757632981
"ACC.plate2_B06" 0.831224998985038 0.138560966899797 0.0302140341151648
"ACC.plate2_B08" 0.608258968117798 0.339026572662428 0.0527144592197734
"ACC.plate2_B09" 0 1 0
"ACC.plate2_B10" 0.954501394542946 0.0298477549544791 0.0156508505025747
"ACC.plate2_B11" 0.174407899043167 0.814382537942394 0.0112095630144391
"ACC.plate2_B12" 0 0.992456420928479 0.00754357907152144
"ACC.plate2_C01" 0.022641556290218 0.822759180840129 0.154599262869653
"ACC.plate2_C03" 0.758433204920363 0.132393213568575 0.109173581511062
"ACC.plate2_C04" 0.407705370622699 0.515836614303517 0.0764580150737846
"ACC.plate2_C05" 0.743839799241511 0.183812855095187 0.0723473456633016
"ACC.plate2_C06" 0.928467291777131 0.0462432886440062 0.0252894195788623
"ACC.plate2_C07" 0.815554611502016 0.167643668174524 0.0168017203234601
"ACC.plate2_C08" 0.138017539035896 0.828366570499894 0.0336158904642094
"ACC.plate2_C11" 1 0 0
"ACC.plate2_C12" 0.980523321437234 0 0.0194766785627662
"ACC.plate2_D09" 0 1 0
"ACC.plate2_D11" 0.630514320374056 0.225726394857828 0.143759284768116
"ACC.plate2_D12" 0.974983586603768 0.00415217196336959 0.0208642414328627
"ACC.plate2_E02" 0.0494946989415509 0.940633950122644 0.00987135093580511
"ACC.plate2_E04" 0.279553389317663 0.645287628454168 0.0751589822281692
"ACC.plate2_E05" 0.988964099479107 0 0.0110359005208925
"ACC.plate2_E06" 0.484980446161496 0.495516648445613 0.0195029053928911
"ACC.plate2_E07" 0.992311347142245 0.00602926216934972 0.00165939068840529
"ACC.plate2_E09" 0.662959128791265 0.245192602541838 0.0918482686668974
"ACC.plate2_F01" 0.878213666665094 0.113817630562181 0.00796870277272555
"ACC.plate2_F03" 0.404176769870254 0.511435593300882 0.0843876368288634
"ACC.plate2_F04" 0.983396213473558 0 0.0166037865264415
"ACC.plate2_F05" 0.0506003329356696 0.922687988380586 0.0267116786837443
"ACC.plate2_F08" 0.546211767783027 0.342362891936658 0.111425340280315
"ACC.plate2_F09" 1 0 0
"ACC.plate2_F10" 0.824513986315587 0.159081867561494 0.0164041461229189
"ACC.plate2_F11" 0.53886344163382 0.438885707783352 0.0222508505828281
"ACC.plate2_F12" 0.732065397327756 0.171143793094475 0.0967908095777688
"ACC.plate2_G04" 0 0 1
"ACC.plate2_G05" 0.643658146571828 0.317522257640496 0.0388195957876761
"ACC.plate2_G06" 0.607382062568145 0.366818742901835 0.0257991945300197
"ACC.plate2_G08" 0 1 0
"ACC.plate2_G09" 0.364281124605036 0.541950003846248 0.0937688715487166
"ACC.plate2_G11" 0.665646706644833 0.32685054054073 0.00750275281443683
"ACC.plate2_H01" 0.901917294370363 0.0499260240150658 0.0481566816145707
"ACC.plate2_H08" 0.717923880056751 0.23680445479138 0.0452716651518695
"ACC.plate2_H12" 0.681309637316811 0.207264438931702 0.111425923751486
"ACC1.P3_A03" 0.767197813777226 0.175407623851964 0.0573945623708105
"ACC1.P3_A04" 0.558322405890046 0.379927434914842 0.0617501591951117
"ACC1.P3_A05" 0.813005018385317 0.156820071280858 0.030174910333825
"ACC1.P3_A06" 0.762699246636097 0.233991985970313 0.00330876739359033
"ACC1.P3_A09" 0.90433708493243 0.091085618361854 0.00457729670571613
"ACC1.P3_A10" 0 0.943579348761988 0.056420651238012
"ACC1.P3_A11" 0.731457232316955 0.231154000346765 0.0373887673362796
"ACC1.P3_A12" 0 0.976543867955518 0.0234561320444818
"ACC1.P3_B01" 0.80427792655954 0.151140288378859 0.044581785061601
"ACC1.P3_B02" 0.802054365938307 0.178187569495235 0.0197580645664578
"ACC1.P3_B03" 0.688282426465838 0.249597004309548 0.0621205692246135
"ACC1.P3_B04" 0.362595605469379 0.632370067346713 0.00503432718390811
"ACC1.P3_B06" 0.861563625500143 0.096742600330899 0.0416937741689576
"ACC1.P3_B07" 0.812896648145985 0.178340905287217 0.00876244656679801
"ACC1.P3_B08" 0.0594289746586955 0.900897606355827 0.039673418985478
"ACC1.P3_B09" 0.515880387108147 0.404020013280691 0.0800995996111624
"ACC1.P3_B10" 0.881795328548439 0.105114156868365 0.0130905145831969
"ACC1.P3_B12" 0.583684136076244 0.336283887119987 0.0800319768037689
"ACC1.P3_C01" 0.694922687463048 0.27202786707939 0.033049445457562
"ACC1.P3_C02" 0 0.977321497704326 0.0226785022956745
"ACC1.P3_C03" 0.778384592523956 0.189634414685144 0.0319809927908993
"ACC1.P3_C04" 0.619078870481961 0.309285439473666 0.0716356900443729
"ACC1.P3_C05" 0.86196335179758 0.123793927144586 0.0142427210578342
"ACC1.P3_C06" 0.309229287771213 0.591765007316126 0.0990057049126612
"ACC1.P3_C07" 0.908742907251759 0.0675199627621185 0.0237371299861229
"ACC1.P3_C08" 0.582823234561665 0.370657986135984 0.0465187793023508
"ACC1.P3_C09" 0.332961854417432 0.649628586939951 0.0174095586426177
"ACC1.P3_C10" 0.988765679782898 0 0.0112343202171018
"ACC1.P3_C11" 0.231575057753768 0.747959756035483 0.0204651862107497
"ACC1.P3_C12" 0.879534288423122 0.0948878338483661 0.0255778777285116
"ACC1.P3_D01" 0.992755507546055 0.000824430874450694 0.00642006157949411
"ACC1.P3_D02" 0.994135934849717 0 0.00586406515028291
"ACC1.P3_D03" 0.517336616682474 0.479529911408913 0.00313347190861316
"ACC1.P3_D04" 0.840766010904192 0.088135165240354 0.0710988238554538
"ACC1.P3_D05" 0.462092437686509 0.514976820178583 0.0229307421349082
"ACC1.P3_D06" 0.693181422692953 0.246877794043099 0.0599407832639483
"ACC1.P3_D07" 0.760372945021421 0.191983409507973 0.0476436454706057
"ACC1.P3_D08" 0.856620696446208 0.10571143424033 0.0376678693134622
"ACC1.P3_D09" 0.809374797489503 0.137155839588194 0.053469362922303
"ACC1.P3_D10" 0.321649957003659 0.254925822134952 0.42342422086139
"ACC1.P3_D11" 0.952489759140066 0.021884440126385 0.0256258007335494
"ACC1.P3_E01" 0.876213823886718 0.078404370467044 0.0453818056462379
"ACC1.P3_E03" 0.725275470043977 0.218611770748726 0.0561127592072965
"ACC1.P3_E04" 0.482712620170224 0.459940547905307 0.0573468319244694
"ACC1.P3_E05" 0.726074937696909 0.234800615599011 0.0391244467040794
"ACC1.P3_E06" 0.917267562202138 0.0411920685644276 0.0415403692334339
"ACC1.P3_E07" 0.651488541199426 0.313255767505766 0.0352556912948076
"ACC1.P3_E08" 0.662604445562382 0.289217597532654 0.0481779569049643
"ACC1.P3_E09" 0.327060958852152 0.655767201940463 0.017171839207385
"ACC1.P3_E10" 0.725895890403002 0.24127827524224 0.0328258343547583
"ACC1.P3_E11" 0.135778083689791 0.853904335441525 0.0103175808686842
"ACC1.P3_E12" 0.248440884437984 0.662699055684666 0.0888600598773503
"ACC1.P3_F01" 0.489973119403567 0.472235331702268 0.0377915488941655
"ACC1.P3_F02" 0.884689234103858 0.087132346911845 0.0281784189842967
"ACC1.P3_F03" 0.148936302009505 0.814334440456422 0.036729257534073
"ACC1.P3_F05" 0.238453626064174 0.740000190472711 0.0215461834631145
"ACC1.P3_F06" 0.849857201388942 0.134849943653898 0.0152928549571602
"ACC1.P3_F07" 0.962052876434066 0.0195277101810585 0.0184194133848755
"ACC1.P3_F08" 0.706124452196539 0.283479965272586 0.0103955825308753
"ACC1.P3_F10" 0.79643621170823 0.140836099850314 0.0627276884414563
"ACC1.P3_F11" 0 0 1
"ACC1.P3_G01" 0.191238586403591 0.808761413596409 0
"ACC1.P3_G02" 0.837625242742699 0.0121207297547246 0.150254027502577
"ACC1.P3_G03" 0.961241763327629 0.0293592199296247 0.00939901674274621
"ACC1.P3_G04" 0.74603619195423 0.20952757599181 0.044436232053959
"ACC1.P3_G05" 0.672332625945684 0.290486906229853 0.0371804678244638
"ACC1.P3_G09" 0.553008401853329 0.38162142897295 0.0653701691737207
"ACC1.P3_G10" 0.818664031703447 0.169651638543703 0.0116843297528497
"ACC1.P3_G11" 0.689461222024899 0.284675985932086 0.0258627920430154
"ACC1.P3_H01" 0.883371689394913 0.112781286600393 0.00384702400469404
"ACC1.P3_H02" 0.766584628762619 0.168942404619303 0.0644729666180779
"ACC1.P3_H03" 0.0755304578229436 0.896061419154572 0.028408123022484
"ACC1.P3_H04" 1 0 0
"ACC1.P3_H06" 0.627905285440568 0.331060282936714 0.0410344316227177
"ACC1.P3_H07" 0 1 0
"ACC1.P3_H08" 0.971871169607748 0 0.0281288303922516
"ACC1.P3_H09" 0.0506681039358041 0.933657352031286 0.0156745440329103
"ACC1.P3_H10" 0.568901580848835 0.366018810813416 0.0650796083377489
"ACC1.P3_H11" 0.887627324976143 0.0662681531349269 0.0461045218889297
"ACC1.P3_H12" 0.437926017544896 0.49600079838252 0.0660731840725843
