"1" "2" "3"
"WASH7P" -0.0001188538576378 0.0002266093406201 -0.0002084054194255
"MIR6859-1" 0.0001976615876352 -0.0002165665742556 -0.0002351942515969
"RP11-34P13.7" 4.75845507945373e-05 -4.95908359878997e-05 -6.29559467561582e-05
"RP11-34P13.13" 5.20986341759134e-05 -9.03970166036338e-05 -6.15073778409843e-05
"ABC7-43046700E7.1" 0.0001824333283567 -0.0002274347935387 -0.0003039660320222
"RP11-34P13.18" 1.41878268258925e-05 -0.0001061898124738 0.0011323336586259
"MIR6859-2" 0.0001648219058462 -0.0001150655351165 -0.000293575914694
"AP006222.1" 1.20219113616141e-05 1.06321818259994e-07 3.8646615167482e-05
"RPL23AP24" -0.0001524529729085 0.0002352750066993 -0.0001884992750826
"RP11-206L10.17" -0.0002163001788015 0.0003463566208946 4.25559642259228e-05
"RP5-857K21.9" 0.0002091690775542 -0.0002531963240567 -0.0003727633110774
"RP5-857K21.8" -0.0006331850039229 0.000954181263413 0.0010212302748865
"RP5-857K21.6" -0.0003778879956192 0.0004347043110539 0.0016627860115819
"RP5-857K21.7" -6.47366039801359e-05 0.0002929394064743 -0.0002936235652319
"RP5-857K21.14" -0.0004042398554722 0.0007760886934917 -4.4984058989655e-06
"RP5-857K21.10" -0.0001867654416787 0.0003735187810266 0.0003437519272189
"RP5-857K21.11" -0.0004394203110916 0.0007829402853904 0.0002336871390089
"RP11-206L10.2" -0.0002372980197229 0.0005238897043404 -0.0003355324702882
"RP11-206L10.9" -6.06841762142069e-05 -0.0002749072131792 0.0016329026452409
"RP11-206L10.8" -0.0001086481009111 0.0001948202490176 -0.0001469111501967
"FAM87B" 4.86670970518222e-05 -0.0001159569939863 0.0001264182504377
"RP11-206L10.11" 9.03160441751882e-05 -0.0001695386542589 6.43652724195684e-05
"NCRNA00115" -0.0001429872465282 5.31242997676474e-06 0.0008223866222122
"FAM41C" 0.0001078683122235 -0.0001628506263336 -0.0001616984614442
"TUBB8P11" 0.0002617796755664 -0.0002382208169094 -0.0002628619215748
"RP11-54O7.16" -0.0002783546301067 0.0005289694806376 -6.04415788047604e-05
"RP11-54O7.1" 0.0001298789531684 -0.0001140811547128 -0.0002444035194312
"SAMD11" -0.0002351839062746 0.0004225255633702 -0.0001334322511114
"NOC2L" 0.0001555315421141 -0.0001855090978176 -0.0005238870381192
"KLHL17" -9.76361139399479e-05 0.0002974078028047 -0.0002979497604771
"PLEKHN1" 0.0002567127593846 -0.0003105855377392 -0.0002140840296508
"PERM1" 0.0001811338180235 -9.91885296059476e-05 -0.0003580873613733
"RP11-54O7.17" 0.0001090188393285 -0.0001658280060716 -4.45913461931636e-05
"HES4" 7.35042668021679e-05 -0.0001486204049655 9.61825561978755e-05
"ISG15" -0.0003270314078655 -0.0003204031810326 0.0043796074772429
"RP11-54O7.10" -5.61795821403181e-06 -9.29539771395048e-05 0.0002762942440872
"RP11-54O7.11" 0.0002500088524764 -0.0002531747013811 -0.0003015785190358
"AGRN" -0.0001537923974871 4.47819244934492e-06 0.0010403647652636
"RP11-465B22.3" 3.50676938766179e-05 -0.0001240349979629 -0.0002347984032217
"RP11-54O7.18" 6.15316156184823e-05 -0.0002059891070038 0.0001316861335645
"RNF223" 0.0001058922780898 -0.0002734151252778 0.000103291002206
"C1orf159" -0.0003234709482742 0.0007098956061207 -0.0008310211069508
"MIR429" 0.0002267828129951 -0.0002914502677796 -0.0002437093433898
"RP11-465B22.8" -1.90887305216926e-05 -4.73381459685583e-05 2.14890991664961e-05
"RP11-465B22.6" 0.0001315498663604 -0.0001362953635813 -0.0002248202305789
"TTLL10" 0.0001345257510514 -0.0001762453449556 -0.00024060240021
"TNFRSF18" 8.13251089604112e-05 -9.37511336290768e-05 -0.0001344382042005
"SDF4" -0.0002427049596172 0.0003916469837286 9.9939989537704e-05
"B3GALT6" 7.59527025931138e-06 -0.0002928677452537 0.0010927786476884
"UBE2J2" 0.0001923823494007 -0.0005755992681925 0.001648667133667
"RP5-902P8.10" 0.0002205348144966 -0.0002223792756609 -0.0002456633848984
"SCNN1D" 0.0002245094255369 -0.0002322895233963 -0.0002573342177772
"ACAP3" -0.0003035651552601 -0.0001003224307652 0.0033953209223009
"PUSL1" 7.61783289180425e-05 -0.0001951906396864 -0.0003134190491384
"INTS11" -0.0001014430559221 0.000229836645234 -0.0004225655325816
"MIR6727" 0.0001537244645109 -0.0001650191600674 -0.000197222814449
"CPTP" -4.43133114063769e-06 -0.0001367842400055 0.0006397634881302
"TAS1R3" -0.0003770136307963 -0.0002523946868195 0.0044546838723772
"DVL1" 0.0003037284920598 -0.0003683178104515 -0.0003496510189378
"MXRA8" 7.5476477212542e-05 -7.74176927940096e-05 3.0175795484948e-05
"AURKAIP1" -0.0002027745573231 0.0001028320523499 0.0006211743022547
"RP5-890O3.3" 9.25524444549586e-05 -0.0001608397567643 -4.41981941708316e-05
"CCNL2" -0.000760274580393 0.0012759250611177 0.0005586990371848
"RP4-758J18.2" -0.0001436535636111 0.0002006855772239 -5.94275600575083e-05
"MRPL20" -0.0001692018877089 -0.0003783828709325 0.003113771136824
"ANKRD65" 8.6401126374013e-05 -4.402043607351e-05 -0.0003224214485653
"RP4-758J18.10" 0.0001606460626958 -0.0002040655283751 -0.0002192216397938
"VWA1" 0.0001421432901045 -0.0002359679274802 -0.0001494710978809
"ATAD3C" 0.0002697532769816 -0.00027926889524 -0.0002637967478112
"ATAD3B" 0.0001481448965121 -0.0001374082616357 7.43498040555744e-05
